N,tau,noise,type,probability,mean,second_moment,third_moment,fourth_moment,variance,skewness,kurtosis
50,0.0001,25.0,pk,"[0.9990132714095581, 0.9911428062632941, 0.9755260703152917, 0.952409484626905, 0.9221577939361559, 0.8852482920114986, 0.8422632693667363, 0.7938808057609383, 0.7408640558223626, 0.6840491993800109, 0.6243322482478151, 0.5626549181246203, 0.499989787833945, 0.437324978280366, 0.3756485902332578, 0.31593314337127604, 0.2591202589428442, 0.20610582492366739, 0.15772587568046356, 0.11474340788144548, 0.07783634074678944, 0.04758681176187745, 0.02447197879438216, 0.008856476390300735, 0.0009866480397257972]",,,,,,,
50,0.0001,25.0,numeric,"[0.0, 0.0, 0.0, 2.8243873321089746e-08, 9.541630183798178e-07, 1.8254936665607193e-05, 0.00021572476463715853, 0.001666421407244465, 0.008748164325371895, 0.032074732914564814, 0.08372741894862323, 0.15766070090815243, 0.21591685028195726, 0.2159080300234161, 0.15764138024098714, 0.08371031886930612, 0.032065562163926725, 0.008744948540485728, 0.001665672739376168, 0.00021561022929262368, 1.8243753812222988e-05, 9.5350059184835e-07, 2.8221958728970315e-08, 0.0, 0.0, 0.0]",24.999744655730023,637.4873998678104,16562.024300615838,437946.2338874129,12.50016701610832,0.0001155619429482,462.5123422190081
50,0.000215,0.0,pk,"[0.99896946717407, 0.9907527633769787, 0.9744656225108007, 0.9503971811654695, 0.9189727800872086, 0.8807442781309067, 0.8363777003211864, 0.7866386600729931, 0.732376056587771, 0.6745045823208838, 0.6139865816997337, 0.5518137823298142, 0.48898937679170684, 0.42651087116562736, 0.3653540408863383, 0.3064582511441001, 0.25071331352318477, 0.19894796822889863, 0.1519200067005334, 0.1103079863007697, 0.07470443969892782, 0.0456104480055376, 0.02343142908274244, 0.008473990198179317, 0.000943705931343336]",,,,,,,
50,0.000215,0.0,numeric,"[0.0, 0.0, 6.463582781715409e-10, 4.2693418677356066e-08, 1.380751744426328e-06, 2.5287792541428834e-05, 0.00028605489084396917, 0.0021151160434929677, 0.010627900524118761, 0.03729545999533054, 0.09317602291894643, 0.167913119944215, 0.2200663210364601, 0.21058278113908155, 0.14712702155184648, 0.07475676342325023, 0.027399380915499934, 0.007149417455675061, 0.001302853792792737, 0.00016134260335316246, 1.3060165422232741e-05, 6.529670839583271e-07, 1.848733822834606e-08, 2.5628570533131566e-10, 0.0, 0.0]",24.724730566801572,623.8092913846426,16041.623628663116,420015.99677772564,12.496989783710433,0.1375635137919744,462.28027925943024
50,0.000215,0.0,analytic,"[0.0, 0.0, 4.3657554563316784e-10, 2.9955462572270846e-08, 1.0063112731760267e-06, 1.914254360753702e-05, 0.00022489403520457684, 0.0017269019880977714, 0.009010480730744067, 0.032830850569119455, 0.08515515807346725, 0.15930256638597792, 0.21670505745097196, 0.21520690626671513, 0.15601919225831792, 0.08224612781939732, 0.03126826747498392, 0.008461366184371061, 0.0015987067118338077, 0.0002052139872784507, 1.7212889736494754e-05, 8.914170205055034e-07, 2.6130699561266108e-08, 3.7483334239948167e-10, 0.0, 0.0]",24.95652950183896,635.3212273471718,16478.988217641378,435064.4276401852,12.492862571013575,0.0182775753200985,461.9760921858251
50,0.000215,0.0,thermal1,"[0.0, 0.0, 6.47674061357495e-10, 4.2763883990486306e-08, 1.3825530206023767e-06, 2.5313021073043406e-05, 0.0002862636440638985, 0.0021161754693191344, 0.010631205834469425, 0.03730143201151047, 0.09318051961868346, 0.1679089912910584, 0.22005346833028525, 0.21057158474498294, 0.14712571805223223, 0.07476233655893659, 0.0274047811401476, 0.007151982699382701, 0.001303583033709624, 0.00016147166160120543, 1.307426233410862e-05, 6.538800764585362e-07, 1.851981087268093e-08, 2.5683783722043823e-10, 0.0, 0.0]",24.72473056673171,623.8107861326895,16041.734554987432,420021.59381909575,12.498484535212242,0.1376179844119178,462.3893781413791
50,0.000215,0.001,pk,"[0.9989694671903397, 0.9907527634327509, 0.9744656226110484, 0.9503971813185024, 0.918972780298651, 0.880744278403735, 0.8363777006555996, 0.786638660466283, 0.7323760570342829, 0.6745045828121308, 0.6139865822247139, 0.5518137828755355, 0.48898937734390235, 0.4265108717096038, 0.36535404140787847, 0.3064582516303297, 0.2507133139633132, 0.1989479686147645, 0.15192000702691869, 0.11030798656548416, 0.07470443990270587, 0.0456104481518227, 0.0234314291774548, 0.008473990249612635, 0.0009437059464989592]",,,,,,,
50,0.000215,0.001,numeric,"[0.0, 0.0, 0.0, 4.269341757811093e-08, 1.3807517143663936e-06, 2.5287792067741535e-05, 0.00028605488629574393, 0.0021151160155218293, 0.010627900410885833, 0.037295459691154664, 0.09317602238737055, 0.16791311939284126, 0.22006632084353564, 0.21058278146112067, 0.1471270221325375, 0.07475676390089776, 0.027399381158577978, 0.0071494175372637594, 0.001302853811076756, 0.00016134260605906684, 1.3060165679157507e-05, 6.529670986465814e-07, 1.848733871419773e-08, 0.0, 0.0, 0.0]",24.72473056758329,623.8092915817659,16041.623632057474,420015.99660326116,12.496989942178745,0.1375536909763468,462.2804448595271
50,0.000215,0.001,thermal1,"[0.0, 0.0, 0.0, 4.2763883940403597e-08, 1.3825530191561813e-06, 2.5313021049731416e-05, 0.0002862636438360714, 0.002116175467899645, 0.010631205828668161, 0.03730143199582154, 0.09318051959114591, 0.16790899126244394, 0.22005346832030967, 0.2105715847617763, 0.14712571808236877, 0.07476233658360318, 0.027404781152617644, 0.007151982703531575, 0.00130358303462891, 0.00016147166173527267, 1.3074262346599342e-05, 6.538800771650219e-07, 1.8519810895007218e-08, 0.0, 0.0, 0.0]",24.724730553107985,623.8107856175168,16041.734531409444,420021.5927191002,12.49848469372489,0.1376081447524484,462.3895440655761
50,0.000215,0.01,pk,"[0.9989694673200518, 0.9907527645879378, 0.9744656257528556, 0.9503971872834412, 0.9189727897460965, 0.8807442917745154, 0.8363777181442784, 0.7866386820088805, 0.7323760823122164, 0.6745046112721435, 0.6139866131135511, 0.5518138152872065, 0.4889894102765653, 0.4265109041285041, 0.36535407231038836, 0.3064582801089932, 0.25071333926292994, 0.19894799017991277, 0.1519200245369229, 0.11030799995461968, 0.0747044493643657, 0.04561045412638085, 0.023431432324588157, 0.00847399140682239, 0.000943706076441708]",,,,,,,
50,0.000215,0.01,numeric,"[0.0, 0.0, 0.0, 4.269336579921926e-08, 1.3807502151623518e-06, 2.5287767848002063e-05, 0.00028605464907106864, 0.002115114534187795, 0.010627894343023189, 0.037295443242365243, 0.09317599344098725, 0.16791308920101736, 0.2200663101775466, 0.21058279901423982, 0.1471270538621462, 0.07475678995012694, 0.027399394357725856, 0.007149421937715437, 0.0013028547878957603, 0.00016134274876632458, 1.3060178997020685e-05, 6.529678532428428e-07, 1.8487362591504662e-08, 0.0, 0.0, 0.0]",24.724731390876798,623.8093323207484,16041.625174425815,420016.04949363077,12.496989969739845,0.1375532805141119,462.28044687071815
50,0.000215,0.01,thermal1,"[0.0, 0.0, 0.0, 4.2763831194370875e-08, 1.3825514960224753e-06, 2.531299649764094e-05, 0.000286263403890931, 0.002116173972920054, 0.010631199718800848, 0.03730141547248811, 0.09318049059104773, 0.16790896112579778, 0.22005345781515698, 0.21057160245059658, 0.14712574982427218, 0.07476236256274982, 0.027404794285886394, 0.0071519870732196615, 0.0013035840028245219, 0.0001614718029360754, 1.3074275501986073e-05, 6.538808212465281e-07, 1.851983440944537e-08, 0.0, 0.0, 0.0]",24.724731376401376,623.8108263379995,16041.736072408414,420021.6455405379,12.49848470279278,0.137607733184268,462.3895447291434
50,0.000215,0.05,pk,"[0.9989694704644562, 0.990752792591329, 0.9744657019147758, 0.9503973318821273, 0.9189730187657437, 0.8807446159014339, 0.8363781420949723, 0.7866392042323815, 0.7323766950856269, 0.6745053011837178, 0.6139873619033213, 0.5518146009926569, 0.48899020861160336, 0.4265116900091996, 0.365354821431599, 0.30645897047268705, 0.2507139525619646, 0.19894851295007066, 0.15192044900456664, 0.11030832452648873, 0.0747046787285848, 0.04561059895824864, 0.023431508615619327, 0.008474019459248345, 0.0009437092264405076]",,,,,,,
50,0.000215,0.05,numeric,"[0.0, 0.0, 0.0, 4.269211012697358e-08, 1.3807138738827593e-06, 2.5287180733402413e-05, 0.00028604889845770804, 0.00211507862479422, 0.010627747250172116, 0.037295044501641665, 0.09317529174027589, 0.16791235730680754, 0.22006605161531834, 0.21058322452411202, 0.1471278230330509, 0.07475742142228868, 0.027399714325433894, 0.007149528611654371, 0.0013028784675808477, 0.00016134620823177425, 1.3060501846427362e-05, 6.529861430464203e-07, 1.8487941372265773e-08, 0.0, 0.0, 0.0]",24.724751348692962,623.8103198925443,16041.662563677519,420017.3316335765,12.496990637849875,0.1375433301909652,462.2804956315085
