2023-08-23 00:03:50,843 Finished calculating data for N=50, tau=0.006723, noise=0.001
2023-08-23 00:03:50,891 Finished calculating data for N=50, tau=0.006723, noise=0.01
2023-08-23 00:03:50,940 Finished calculating data for N=50, tau=0.006723, noise=0.05
2023-08-23 00:03:50,988 Finished calculating data for N=50, tau=0.006723, noise=0.1
2023-08-23 00:03:51,036 Finished calculating data for N=50, tau=0.006723, noise=0.2
2023-08-23 00:03:51,084 Finished calculating data for N=50, tau=0.006723, noise=0.5
2023-08-23 00:03:51,133 Finished calculating data for N=50, tau=0.006723, noise=1.0
2023-08-23 00:03:51,180 Finished calculating data for N=50, tau=0.006723, noise=5.0
2023-08-23 00:03:51,228 Finished calculating data for N=50, tau=0.006723, noise=10.0
2023-08-23 00:03:51,276 Finished calculating data for N=50, tau=0.008254, noise=0.0
2023-08-23 00:03:51,322 Finished calculating data for N=50, tau=0.008254, noise=0.001
2023-08-23 00:03:51,370 Finished calculating data for N=50, tau=0.008254, noise=0.01
2023-08-23 00:03:51,419 Finished calculating data for N=50, tau=0.008254, noise=0.05
2023-08-23 00:03:51,466 Finished calculating data for N=50, tau=0.008254, noise=0.1
2023-08-23 00:03:51,515 Finished calculating data for N=50, tau=0.008254, noise=0.2
2023-08-23 00:03:51,563 Finished calculating data for N=50, tau=0.008254, noise=0.5
2023-08-23 00:03:51,610 Finished calculating data for N=50, tau=0.008254, noise=1.0
2023-08-23 00:03:51,658 Finished calculating data for N=50, tau=0.008254, noise=5.0
2023-08-23 00:03:51,704 Finished calculating data for N=50, tau=0.008254, noise=10.0
2023-08-23 00:03:51,752 Finished calculating data for N=50, tau=0.010826, noise=0.0
2023-08-23 00:03:51,800 Finished calculating data for N=50, tau=0.010826, noise=0.001
2023-08-23 00:03:51,849 Finished calculating data for N=50, tau=0.010826, noise=0.01
2023-08-23 00:03:51,896 Finished calculating data for N=50, tau=0.010826, noise=0.05
2023-08-23 00:03:51,944 Finished calculating data for N=50, tau=0.010826, noise=0.1
2023-08-23 00:03:51,991 Finished calculating data for N=50, tau=0.010826, noise=0.2
2023-08-23 00:03:52,038 Finished calculating data for N=50, tau=0.010826, noise=0.5
2023-08-23 00:03:52,087 Finished calculating data for N=50, tau=0.010826, noise=1.0
2023-08-23 00:03:52,136 Finished calculating data for N=50, tau=0.010826, noise=5.0
2023-08-23 00:03:52,184 Finished calculating data for N=50, tau=0.010826, noise=10.0
2023-08-23 00:03:52,232 Finished calculating data for N=50, tau=0.013335, noise=0.0
2023-08-23 00:03:52,279 Finished calculating data for N=50, tau=0.013335, noise=0.001
2023-08-23 00:03:52,326 Finished calculating data for N=50, tau=0.013335, noise=0.01
2023-08-23 00:03:52,376 Finished calculating data for N=50, tau=0.013335, noise=0.05
2023-08-23 00:03:52,424 Finished calculating data for N=50, tau=0.013335, noise=0.1
2023-08-23 00:03:52,471 Finished calculating data for N=50, tau=0.013335, noise=0.2
2023-08-23 00:03:52,521 Finished calculating data for N=50, tau=0.013335, noise=0.5
2023-08-23 00:03:52,570 Finished calculating data for N=50, tau=0.013335, noise=1.0
2023-08-23 00:03:52,618 Finished calculating data for N=50, tau=0.013335, noise=5.0
2023-08-23 00:03:52,665 Finished calculating data for N=50, tau=0.013335, noise=10.0
2023-08-23 00:03:52,713 Finished calculating data for N=50, tau=0.017433, noise=0.0
2023-08-23 00:03:52,760 Finished calculating data for N=50, tau=0.017433, noise=0.001
2023-08-23 00:03:52,808 Finished calculating data for N=50, tau=0.017433, noise=0.01
2023-08-23 00:03:52,855 Finished calculating data for N=50, tau=0.017433, noise=0.05
2023-08-23 00:03:52,903 Finished calculating data for N=50, tau=0.017433, noise=0.1
2023-08-23 00:03:52,950 Finished calculating data for N=50, tau=0.017433, noise=0.2
2023-08-23 00:03:52,998 Finished calculating data for N=50, tau=0.017433, noise=0.5
2023-08-23 00:03:53,045 Finished calculating data for N=50, tau=0.017433, noise=1.0
2023-08-23 00:03:53,093 Finished calculating data for N=50, tau=0.017433, noise=5.0
2023-08-23 00:03:53,140 Finished calculating data for N=50, tau=0.017433, noise=10.0
2023-08-23 00:03:53,188 Finished calculating data for N=50, tau=0.021544, noise=0.0
2023-08-23 00:03:53,236 Finished calculating data for N=50, tau=0.021544, noise=0.001
2023-08-23 00:03:53,284 Finished calculating data for N=50, tau=0.021544, noise=0.01
2023-08-23 00:03:53,331 Finished calculating data for N=50, tau=0.021544, noise=0.05
2023-08-23 00:03:53,379 Finished calculating data for N=50, tau=0.021544, noise=0.1
2023-08-23 00:03:53,426 Finished calculating data for N=50, tau=0.021544, noise=0.2
2023-08-23 00:03:53,474 Finished calculating data for N=50, tau=0.021544, noise=0.5
2023-08-23 00:03:53,523 Finished calculating data for N=50, tau=0.021544, noise=1.0
2023-08-23 00:03:53,572 Finished calculating data for N=50, tau=0.021544, noise=5.0
2023-08-23 00:03:53,620 Finished calculating data for N=50, tau=0.021544, noise=10.0
2023-08-23 00:03:53,668 Finished calculating data for N=50, tau=0.028072, noise=0.0
2023-08-23 00:03:53,716 Finished calculating data for N=50, tau=0.028072, noise=0.001
2023-08-23 00:03:53,764 Finished calculating data for N=50, tau=0.028072, noise=0.01
2023-08-23 00:03:53,811 Finished calculating data for N=50, tau=0.028072, noise=0.05
2023-08-23 00:03:53,859 Finished calculating data for N=50, tau=0.028072, noise=0.1
2023-08-23 00:03:53,908 Finished calculating data for N=50, tau=0.028072, noise=0.2
2023-08-23 00:03:53,956 Finished calculating data for N=50, tau=0.028072, noise=0.5
2023-08-23 00:03:54,005 Finished calculating data for N=50, tau=0.028072, noise=1.0
2023-08-23 00:03:54,053 Finished calculating data for N=50, tau=0.028072, noise=5.0
2023-08-23 00:03:54,111 Finished calculating data for N=50, tau=0.028072, noise=10.0
2023-08-23 00:03:54,157 Finished calculating data for N=50, tau=0.034807, noise=0.0
2023-08-23 00:03:54,203 Finished calculating data for N=50, tau=0.034807, noise=0.001
2023-08-23 00:03:54,252 Finished calculating data for N=50, tau=0.034807, noise=0.01
2023-08-23 00:03:54,300 Finished calculating data for N=50, tau=0.034807, noise=0.05
2023-08-23 00:03:54,348 Finished calculating data for N=50, tau=0.034807, noise=0.1
2023-08-23 00:03:54,397 Finished calculating data for N=50, tau=0.034807, noise=0.2
2023-08-23 00:03:54,445 Finished calculating data for N=50, tau=0.034807, noise=0.5
2023-08-23 00:03:54,493 Finished calculating data for N=50, tau=0.034807, noise=1.0
2023-08-23 00:03:54,541 Finished calculating data for N=50, tau=0.034807, noise=5.0
2023-08-23 00:03:54,588 Finished calculating data for N=50, tau=0.034807, noise=10.0
2023-08-23 00:03:54,636 Finished calculating data for N=50, tau=0.045204, noise=0.0
2023-08-23 00:03:54,684 Finished calculating data for N=50, tau=0.045204, noise=0.001
2023-08-23 00:03:54,730 Finished calculating data for N=50, tau=0.045204, noise=0.01
2023-08-23 00:03:54,778 Finished calculating data for N=50, tau=0.045204, noise=0.05
2023-08-23 00:03:54,824 Finished calculating data for N=50, tau=0.045204, noise=0.1
2023-08-23 00:03:54,871 Finished calculating data for N=50, tau=1.6e-05, noise=0.2
2023-08-23 00:03:54,920 Finished calculating data for N=50, tau=0.045204, noise=0.5
2023-08-23 00:03:54,967 Finished calculating data for N=50, tau=0.045204, noise=1.0
